doctor_id,gender,lname,specialization,fname,department_id,email,phone_number
DOC001,M,Smith,Cardiology,John,DPT001,john.smith@example.com,123-456-7890
DOC002,F,Johnson,Neurology,Amy,DPT002,amy.johnson@example.com,987-654-3210
DOC003,M,Garcia,Oncology,Michael,DPT003,michael.garcia@example.com,111-222-3333
DOC004,F,Williams,Pediatrics,Emily,DPT001,emily.williams@example.com,444-555-6666
DOC005,M,Brown,Orthopedics,David,DPT004,david.brown@example.com,777-888-9999
DOC006,F,Jones,Psychiatry,Sophia,DPT002,sophia.jones@example.com,222-333-4444
DOC007,M,Miller,Endocrinology,James,DPT005,james.miller@example.com,555-666-7777
DOC008,F,Davis,Gastroenterology,Olivia,DPT003,olivia.davis@example.com,888-999-0000
DOC009,M,Garcia,Cardiology,Daniel,DPT001,daniel.garcia@example.com,333-444-5555
DOC010,F,Wilson,Neurology,Chloe,DPT002,chloe.wilson@example.com,999-000-1111
DOC011,M,Martinez,Oncology,Nathan,DPT003,nathan.martinez@example.com,666-777-8888
DOC012,F,Anderson,Pediatrics,Sophie,DPT001,sophie.anderson@example.com,111-222-3333
DOC013,M,Taylor,Orthopedics,Matthew,DPT004,matthew.taylor@example.com,444-555-6666
DOC014,F,Thomas,Psychiatry,Hannah,DPT002,hannah.thomas@example.com,777-888-9999
DOC015,M,Hernandez,Endocrinology,Andrew,DPT005,andrew.hernandez@example.com,222-333-4444
DOC016,F,Moore,Gastroenterology,Amelia,DPT003,amelia.moore@example.com,555-666-7777
DOC017,M,Martin,Cardiology,William,DPT001,william.martin@example.com,888-999-0000
DOC018,F,White,Neurology,Grace,DPT002,grace.white@example.com,333-444-5555
DOC019,M,Thompson,Oncology,Ethan,DPT003,ethan.thompson@example.com,999-000-1111
DOC020,F,Lopez,Pediatrics,Charlotte,DPT001,charlotte.lopez@example.com,666-777-8888
DOC021,M,Lee,Orthopedics,Dylan,DPT004,dylan.lee@example.com,111-222-3333
DOC022,F,Gonzalez,Psychiatry,Ella,DPT002,ella.gonzalez@example.com,444-555-6666
DOC023,M,Harris,Endocrinology,Christopher,DPT005,christopher.harris@example.com,777-888-9999
DOC024,F,Clark,Gastroenterology,Victoria,DPT003,victoria.clark@example.com,222-333-4444
DOC025,M,Lewis,Cardiology,Joseph,DPT001,joseph.lewis@example.com,555-666-7777
DOC026,F,Rodriguez,Neurology,Harper,DPT002,harper.rodriguez@example.com,888-999-0000
DOC027,M,Lee,Oncology,Aiden,DPT003,aiden.lee@example.com,333-444-5555
DOC028,F,Walker,Pediatrics,Evelyn,DPT001,evelyn.walker@example.com,999-000-1111
DOC029,M,Hall,Orthopedics,Mason,DPT004,mason.hall@example.com,666-777-8888
DOC030,F,Young,Psychiatry,Avery,DPT002,avery.young@example.com,111-222-3333
