patient_id,fname,lname,email,phone_number,gender,bdate,address
P001,John,Doe,johndoe@email.com,1234567890,M,1990-05-15,123 Main St
P002,Jane,Smith,janesmith@email.com,9876543210,F,1985-08-22,456 Oak St
P003,Mark,Johnson,markjohnson@email.com,5551234567,M,1978-12-03,789 Pine St
P004,Emma,White,emmawhite@email.com,3334445555,F,1995-02-28,567 Maple St
P005,David,Miller,davidmiller@email.com,8889990000,M,1980-06-10,890 Birch St
P006,Sophia,Clark,sophiaclark@email.com,2223334444,F,1992-11-20,678 Cedar St
P007,James,Ward,jamesward@email.com,6667778888,M,1975-04-08,345 Pine St
P008,Lily,Carter,lilycarter@email.com,9990001111,F,1988-09-15,456 Elm St
P009,Andrew,Brown,andrewbrown@email.com,1112223333,M,1983-03-05,234 Oak St
P010,Olivia,Hill,oliviahill@email.com,4445556666,F,1997-07-18,789 Maple St
